rank,stock_id,score
218,688271,-3.7097783
219,600570,-3.7363348
220,002304,-3.779973
221,000538,-3.7927973
222,600887,-3.8505418
223,601117,-3.8648021
224,688169,-3.8907545
225,601607,-3.9020534
226,300059,-3.949508
227,300033,-3.9726589
228,601901,-4.0039926
229,600438,-4.004738
230,601238,-4.026194
231,600674,-4.0363474
232,600886,-4.0543914
233,688012,-4.058566
234,002352,-4.1491613
235,601456,-4.1619043
236,300124,-4.1788306
237,600436,-4.1921554
238,002142,-4.1945505
239,600161,-4.205088
240,300999,-4.216646
241,600009,-4.277307
242,002230,-4.2891755
243,601800,-4.2937126
244,600233,-4.3478346
245,601390,-4.3533983
246,001391,-4.36069
247,600600,-4.3710976
248,002601,-4.3808203
249,601872,-4.40563
250,600016,-4.414587
251,002459,-4.4237204
252,601012,-4.4348583
253,600893,-4.438053
254,603288,-4.4504175
255,603369,-4.450672
256,300628,-4.467101
257,601618,-4.4748845
258,600406,-4.488964
259,000725,-4.496232
260,300760,-4.525279
261,300498,-4.52957
262,600809,-4.5393515
263,000596,-4.545079
264,000301,-4.5815926
265,000786,-4.5980616
266,000157,-4.602048
267,000100,-4.6103926
268,600426,-4.6210017
269,600026,-4.6315403
270,688472,-4.6355925
271,002179,-4.6492057
272,300896,-4.651167
273,603195,-4.6827717
274,000568,-4.7029343
275,000983,-4.7039595
276,600519,-4.706852
277,601006,-4.7176127
278,300782,-4.7205935
279,603392,-4.750464
280,002236,-4.756443
281,001979,-4.760474
282,600845,-4.7610917
283,600585,-4.7690854
284,002493,-4.7797494
285,300015,-4.798391
286,688223,-4.8036594
287,000002,-4.812707
288,601808,-4.816591
289,300316,-4.868102
290,600309,-4.8687267
291,300122,-4.870143
292,601888,-4.871565
293,000858,-4.874035
294,600085,-4.878706
295,688036,-4.8814273
296,002415,-4.883331
297,600188,-4.88861
298,600048,-4.916789
299,000876,-4.9196415
300,000708,-4.921541
